Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Valine,CHEBI:16414,C1-C5,,,,,val_13C3,16.63
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Valine,CHEBI:16414,C1-C5,,,,,val_13C4,7.78
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Valine,CHEBI:16414,C1-C5,,,,,val_13C5,3.74
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Threonine,CHEBI:16857,C1-C4,,,,,thr_13C0,32.6
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Threonine,CHEBI:16857,C1-C4,,,,,thr_13C1,34.16
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Threonine,CHEBI:16857,C1-C4,,,,,thr_13C2,16.7
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Threonine,CHEBI:16857,C1-C4,,,,,thr_13C3,15.13
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Threonine,CHEBI:16857,C1-C4,,,,,thr_13C4,0
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C0,11.28
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C1,26.13
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C2,25.36
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C3,17.23
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C4,14.55
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C5,4.6
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Leucine,CHEBI:165603,C1-C6,,,,,leu_13C6,0.83
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C0,14.67
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C1,28.57
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C2,24.89
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C3,17.33
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C4,9.16
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C5,4.47
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Isoleucine,CHEBI:17191,C1-C6,,,,,ile_13C6,0.91
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Asparagine,CHEBI:17196,C1-C4,,,,,asn_13C0,32.7
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Asparagine,CHEBI:17196,C1-C4,,,,,asn_13C1,35.01
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Asparagine,CHEBI:17196,C1-C4,,,,,asn_13C2,17.92
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Asparagine,CHEBI:17196,C1-C4,,,,,asn_13C3,15.37
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Asparagine,CHEBI:17196,C1-C4,,,,,asn_13C4,4.09
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamate,CHEBI:29985,C1-C5,,,,,glu_13C0,14.42
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamate,CHEBI:29985,C1-C5,,,,,glu_13C1,29.55
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamate,CHEBI:29985,C1-C5,,,,,glu_13C2,30.47
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamate,CHEBI:29985,C1-C5,,,,,glu_13C3,18.24
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamate,CHEBI:29985,C1-C5,,,,,glu_13C4,6.09
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamate,CHEBI:29985,C1-C5,,,,,glu_13C5,1.24
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamine,CHEBI:18050,C1-C5,,,,,gln_13C0,14.56
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamine,CHEBI:18050,C1-C5,,,,,gln_13C1,30.34
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamine,CHEBI:18050,C1-C5,,,,,gln_13C2,31.65
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamine,CHEBI:18050,C1-C5,,,,,gln_13C3,18.67
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamine,CHEBI:18050,C1-C5,,,,,gln_13C4,3.42
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glutamine,CHEBI:18050,C1-C5,,,,,gln_13C5,1.36
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C0,13.92
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C1,26.57
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C2,29.73
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C3,19.47
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C4,7.97
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C5,2.09
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Arginine,CHEBI:16467,C1-C6,,,,,arg_13C6,0.25
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C0,11.01
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C1,23.37
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C2,20.52
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C3,15.39
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C4,11.76
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C5,9.21
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C6,4.82
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C7,2.49
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C8,1.12
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Phenylalanine,CHEBI:17295,C1-C9,,,,,phe_13C9,0.31
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C0,10.21
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C1,21.16
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C2,20.44
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C3,16.18
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C4,12.53
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C5,9.7
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C6,6.81
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C7,2.97
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C8,0
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Tyrosine,CHEBI:17895,C1-C9,,,,,tyr_13C9,0
