Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glycine,CHEBI:15428,C1-C2,,,,,gly_13C0,74.26
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glycine,CHEBI:15428,C1-C2,,,,,gly_13C1,5.92
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Glycine,CHEBI:15428,C1-C2,,,,,gly_13C2,19.82
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Alanine,CHEBI:16977,C1-C3,,,,,ala_13C0,39.03
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Alanine,CHEBI:16977,C1-C3,,,,,ala_13C1,38.84
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Alanine,CHEBI:16977,C1-C3,,,,,ala_13C2,2.21
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Alanine,CHEBI:16977,C1-C3,,,,,ala_13C3,19.92
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Valine,CHEBI:16414,C1-C5,,,,,val_13C0,15.48
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Valine,CHEBI:16414,C1-C5,,,,,val_13C1,31.91
,Saccharomyces cerevisiae WRY2,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",80/20,1,1,0,Valine,CHEBI:16414,C1-C5,,,,,val_13C2,24.45
